Episode Title,Episode ID,Plays,Publish Time (UTC),Rank
Vulnerable Fredrick Mbugua | Part 2,49872924,3,"2/20/2022, 02:00:00",63
The story of Dr. James Nyabuga Nyariki,49872920,3,"1/8/2022, 09:00:00",64
Vulnerable Nyawira Muriuki,49872919,3,"1/16/2022, 12:00:00",65
Vulnerable Amos Lucky Mhone Part 2 | Getting to ILRI,49872917,3,"2/7/2022, 15:00:00",66
The vulnerable scientist podcast complications | Frida Oyucho,49872907,3,"12/25/2021, 16:00:00",67
Why I love being a scientist,49872905,3,"12/31/2021, 12:00:00",68
Zigzagy Science - Racism Funding Problems Choosing...,49872902,3,"12/31/2021, 11:00:00",69
Vulnerable Amos Lucky Mhone Part 5 | Highs and Lows,49872897,3,"2/10/2022, 03:00:00",70
Vulnerable Samwel Mwamburi | Part 2,49872896,3,"1/5/2022, 09:00:00",71
Vulnerable Nonsikelelo Amanda Sackey | Part 2,49872890,3,"2/15/2022, 23:00:00",72
Vulnerable Samuel Mwamburi | Part 1,49872887,3,"1/3/2022, 09:00:00",73
Vulnerable Justin Nyasinga,49872883,3,"2/19/2022, 19:00:00",74
The Story of Zeynab Caba,49872879,3,"1/1/2022, 01:00:00",75
Vulnerable Florence Parsimei | Part 1,49872873,3,"1/4/2022, 11:00:00",76
Science can be humbling | The Vulnerable Scientist,49872872,3,"12/4/2021, 20:00:00",77
Stressful Young Academic life | 7 Biggest science problems,49872865,3,"12/27/2021, 15:00:00",78
Why Scientists need to be Vulnerable | Dr. Xiaodong Lin-Siegler's Research,49872863,3,"12/27/2021, 18:00:00",79
Be a Guest on the The Vulnerable scientist Podcast,49872860,3,"12/28/2021, 04:00:00",80
Vulnerable Faith Mokobi Zablon,49872998,2,"12/31/2021, 21:00:00",81
Part 2: The Story of Priscilla Wakarera,49872955,2,"12/31/2021, 15:00:00",82
Part 1: The Story of Priscilla Wakarera,49872921,2,"12/31/2021, 15:00:00",83
Vulnerable Dam Khan | Gambian Phd Candidate,49872886,2,"2/17/2022, 06:00:00",84
